X,Y,id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
,,903763,28828203,0,university,4,,Porter Biosciences,,,,,,1925,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,903788,28828232,0,university,5,,Norlin Library,,,,,,1157,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3351674,46202565,0,university,,,Denison Arts and Sciences,,,,,,1080,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
,,3352266,46223800,0,university,,,Ketchum Arts and Sciences Building,,,,,,1775,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
,,3357559,46275955,0,university,,,Claire Small Arts and Sciences,,,,,,1725,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3357561,46275953,0,university,,,Temporary Building 1,,,,,,1715,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3362476,46371942,0,yes,,,University Club,,,,,,972,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
,,3362477,46371926,0,office,3,,University Admin Center,,,educational_institution,,,924,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
,,3368306,46493395,0,university,3,,Mathematics,,,,,,2300,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,3446661,46938870,0,yes,3,,Police and Parking Services Center,,,,,,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446662,46938873,0,yes,2,,Environmental Health and Safety Center,,,,,,1000,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446666,46938896,0,dormitory,,,Andrews Hall,,,,,,2510,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446668,46938894,0,university,3,,"Speech, Language, and Hearing Sciences Building",,,,,,2501,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446669,46938901,0,university,,,Fiske Planetarium,,,,,,2414,,Regent Drive,Boulder,,,,,,,,,,,http://www.colorado.edu/fiske/,,,,,,,,
,,74813634,215665696,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814181,215667580,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814182,215667581,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814198,215667598,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845484,215705013,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
